
MN Shipping Schedule (+/- 3 weeks Unfulfilled)



Ship Date,P O #,SO / TO,Part #,Cust.,Qty Needed,Qty Committed,Assoc. Print/WO,Shelf #,FA/PPAP,Cell,Acc Report
3/17/2026,POSBS2244,13651349DM,SB200-1036-1681,Shellback Semiconductor Technology,3,0,Work Order #12110519826WO,123-E,Yes,,
4/14/2026,,16922TO,1332306GT-Rev1-1001,Genie Industries,4,0,Work Order #12110509296WO,,,,
4/28/2026,,16987TO,62078GT-1001,Genie Industries,10,3,Work Order #12110511899WO,120-H,,,
4/30/2026,,16990TO,1332306GT-Rev1-1001,Genie Industries,2,0,Work Order #12110511994WO,,,,
4/30/2026,,16990TO,1332305GT-Rev2-1001,Genie Industries,25,0,Work Order #12110511997WO,,,,
5/7/2026,0051809862,13654628DM,5109092-1056,RR Donnelley,6000,550,Work Order #12110510185WO,,No,,
5/7/2026,0051809862,13654628DM,5109092-1056,RR Donnelley,10,0,Work Order #12110510186WO,,Yes,,
5/7/2026,0051809861,13654631DM,5109091-1056,RR Donnelley,6000,350,Work Order #12110510187WO,,No,,
5/7/2026,0051809861,13654631DM,5109091-1056,RR Donnelley,10,0,Work Order #12110510188WO,,Yes,,
5/22/2026,1516435-005,13656055DM,278113793-Rev02-1318,Ridge Tool Company : Ridge Products - Orange Manufacturing Ops,38,0,Work Order #12110522659WO,120-C,No,,
5/25/2026,2269538-OP,13655453DM,1128150-1154,Federal Signal : Elgin Sweeper Company,40,2,Work Order #12110514395WO,,No,,
5/25/2026,74409,20120,4000428-1259,Tarter USA : Tarter Industries,1019,0,,119-B,No,,
5/25/2026,74409,20120,4000437-1259,Tarter USA : Tarter Industries,1430,0,,119-B,No,,
5/25/2026,74409,20120,FT4008-1259,Tarter USA : Tarter Industries,1545,0,,,No,,
5/25/2026,74409,20120,TIFC711174-Rev1-1259,Tarter USA : Tarter Industries,303,0,,,No,,
5/25/2026,,17135TO,1330841GT-Rev1-1001,Genie Industries,89,10,Work Order #12110518554WO,,,,
5/26/2026,4500776317,13654417DM,487175-03-1610,"Metalcraft of Mayville, WI, Inc.",1000,64,Work Order #12110514374WO,,No,Variable Data,
5/27/2026,2565986,13657123DM,50065309-1023,Alamo Group Inc - IL : Alamo Group AG Americas LLC (FKA:  Bush Hog LLC),1100,0,Work Order #12110518891WO,119-C,No,,Yes
