Ship By,WO #,Combo #,Customer,Part,Description,Operation Sequence,Formula (Text),Operation Name,Manufacturing Work Center,Manufacturing Cost Template,Remaining Quantity,Completed Quantity,WO Quantity,Qty Completed,Status,1 to 1 Initiating Order,Machine,Hours Remaining
4/6/2026,12110505802WO,,Seats,783502 Rev01-1675,5.75x16 .023 HDPE,1,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,60000,,60000,0,Released,,,39.5
6/24/2026,12110510185WO,,RR Donnelley,5109092-1056,"TANK, SML, RH, FERRIS-DECAL RevA",4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,6600,,6600,0,Released,Sales Order #13654628DM,,2.8
6/24/2026,12110510186WO,,RR Donnelley,5109092-1056,"TANK, SML, RH, FERRIS-DECAL RevA",4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,30,,30,0,Released,Sales Order #13654628DM,,.8
6/24/2026,12110510187WO,,RR Donnelley,5109091-1056,"TANK, SML, LH, FERRIS-DECAL RevA",4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,6600,,6600,0,Released,Sales Order #13654631DM,,2.8
6/24/2026,12110510188WO,,RR Donnelley,5109091-1056,"TANK, SML, LH, FERRIS-DECAL RevA",4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,30,,30,0,Released,Sales Order #13654631DM,,.8
5/26/2026,12110513414WO,,Toro Company,147-7699-1700,"Backer, Red Decal RevB",5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,10710,,10710,7200,In Process,,,4.3
6/11/2026,12110515948WO,,Toro Company,140-4187-1700,Personal Pace Decal RevA,4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,22100,,22100,0,In Process,,,3.3
6/9/2026,12110515968WO,,Toro Company,146-2329-1700,VXX999EKA60600 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,128,,128,0,In Process,,,.2
6/9/2026,12110516246WO,,Toro Company,146-3476-1700,VXX999GKA60600 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,128,,128,0,In Process,,,.2
6/12/2026,12110516305WO,,Toro Company,133-8061-1700,"Prop 65, Short, Generic Decal RevA",4,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,32968,,32968,0,In Process,,,2.6
6/16/2026,12110517377WO,,Toro Company,146-3860-1700,LRX820AKA726Q1 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,128,,128,0,In Process,,,.2
6/1/2026,12110517543WO,,Genie Industries,1283810GT-1001,DECAL Smart Link PROP LIFT STD GR/GS/UI Rev B TRX1283810 SAP#: 1000227315,8,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,3000,,3000,0,In Process,,,2.9
6/4/2026,12110517545WO,,Genie Industries : Terex Global GmbH - Rancho Cucamonga,82417GT-1001,"DECAL, PLATFORM (CARB)",6,Die Cut,diemr-diecut-,Die Cut,520-diecut,526,,526,0,In Process,Sales Order #13656662DM,,4.3
6/16/2026,12110517655WO,,Toro Company,146-7400-1700,NVS730EKC48000 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,128,,128,0,In Process,,,.2
6/23/2026,12110517656WO,,Toro Company,146-7402-1700,NVS749AKC48000 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,128,,128,0,Released,,,.2
6/2/2026,12110517842WO,,Seats,782767-01-1675,"WASHER 2X2X w/.634 hole, .010,FW,POLYCARB",2,Die Cut,"Die cutting setup., Die Thru Cut",Die Cut,520-diecut,10,1998,2008,0,In Process,,,.2
6/11/2026,12110518069WO,,Toro Company,131-5912-1700,"Recoil, G250 Decal RevA",4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,31050,,31050,0,In Process,,,1.9
6/12/2026,12110519206WO,,Kwik Trip,KT FOODS HERE open air case danglers-1600,"4x3,0.015wrv,4/0,clrlam,icut,rdcrnrs,pkinkits",3,Die Cut,diemr-diecut-,Die Cut,520-diecut,1056,,1056,0,In Process,,,.7
6/18/2026,12110519541WO,,Toro Company,121-5684-1700,Service Dealer Location Decal RevC,4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,114000,,114000,0,In Process,,,3
